Code;Denominación;Serie;Acabado;Cierre;Cabecero;NumBis;Alto;Ancho;Tarifa
MRK.23.CE;KIT MARCO RASOMURO 45 CAB ESCALONADO AJUSTABLE ALT 2300 mm;MRK;;;CE;;2300;;300
MRK.25.CE;KIT MARCO RASOMURO 45 CAB ESCALONADO AJUSTABLE ALT 2500 mm;MRK;;;CE;;2500;;300
MRK.27.CE;KIT MARCO RASOMURO 45 CAB ESCALONADO AJUSTABLE ALT 2700 mm;MRK;;;CE;;2700;;300
MRK.30.CE;KIT MARCO RASOMURO 45 CAB ESCALONADO AJUSTABLE ALT 3000 mm;MRK;;;CE;;3000;;300
MRK.03.CR;KIT MARCO RASOMURO 45 CAB RECTO ALT 2030 mm;MRK;;;CR;;2030;;300
MRK.11.CR;KIT MARCO RASOMURO 45 CAB RECTO ALT 2110 mm;MRK;;;CR;;2110;;300
MRK.23.CR;KIT MARCO RASOMURO 45 CAB RECTO AJUSTABLE ALT 2300 mm;MRK;;;CR;;2300;;300
MRK.25.CR;KIT MARCO RASOMURO 45 CAB RECTO AJUSTABLE ALT 2500 mm;MRK;;;CR;;2500;;300
MRK.27.CR;KIT MARCO RASOMURO 45 CAB RECTO AJUSTABLE ALT 2700 mm;MRK;;;CR;;2700;;300
MRK.30.CR;KIT MARCO RASOMURO 45 CAB RECTO AJUSTABLE ALT 3000 mm;MRK;;;CR;;3000;;300
MRK.RI.2;JUEGO 2 RIOSTRAS RASOMURO AJUSTABLE MAX 1025 mm;MRK;;;;3;;;
MRK.RI.3;JUEGO 3 RIOSTRAS RASOMURO AJUSTABLE MAX 1025 mm;MRK;;;;4;;;
MRHE3.C.B;SET HERRAJE RASOMURO CERR CILINDRO + 3 BISAG BB BLANCO;MRK;Blanco;Cilindro;;3;;;
MRHE3.C.N;SET HERRAJE RASOMURO CERR CILINDRO + 3 BISAG BB NEGRO;MRK;Negro;Cilindro;;3;;;
MRHE3.C.P;SET HERRAJE RASOMURO CERR CILINDRO + 3 BISAG BB PLATA;MRK;Plata;Cilindro;;3;;;
MRHE3.C.BR;SET HERRAJE RASOMURO CERR CILINDRO + 3 BISAG BB BRONCE;MRK;Bronce;Cilindro;;3;;;
MRHE3.W.B;SET HERRAJE RASOMURO CERR CONDENA + 3 BISAG BB BLANCO;MRK;Blanco;Condena;;3;;;
MRHE3.W.N;SET HERRAJE RASOMURO CERR CONDENA + 3 BISAG BB NEGRO;MRK;Negro;Condena;;3;;;
MRHE3.W.P;SET HERRAJE RASOMURO CERR CONDENA + 3 BISAG BB PLATA;MRK;Plata;Condena;;3;;;
MRHE3.W.BR;SET HERRAJE RASOMURO CERR CONDENA + 3 BISAG BB BRONCE;MRK;Bronce;Condena;;3;;;
MRHE4.C.B;SET HERRAJE RASOMURO CERR CILINDRO + 4 BISAG BB BLANCO;MRK;Blanco;Cilindro;;4;;;
MRHE4.C.N;SET HERRAJE RASOMURO CERR CILINDRO + 4 BISAG BB NEGRO;MRK;Negro;Cilindro;;4;;;
MRHE4.C.P;SET HERRAJE RASOMURO CERR CILINDRO + 4 BISAG BB PLATA;MRK;Plata;Cilindro;;4;;;
MRHE4.C.BR;SET HERRAJE RASOMURO CERR CILINDRO + 4 BISAG BB BRONCE;MRK;Bronce;Cilindro;;4;;;
MRHE4.W.B;SET HERRAJE RASOMURO CERR CONDENA + 4 BISAG BB BLANCO;MRK;Blanco;Condena;;4;;;
MRHE4.W.N;SET HERRAJE RASOMURO CERR CONDENA + 4 BISAG BB NEGRO;MRK;Negro;Condena;;4;;;
MRHE4.W.P;SET HERRAJE RASOMURO CERR CONDENA + 4 BISAG BB PLATA;MRK;Plata;Condena;;4;;;
MRHE4.W.BR;SET HERRAJE RASOMURO CERR CONDENA + 4 BISAG BB BRONCE;MRK;Bronce;Condena;;4;;;
